code_postal,lat,lon
1000,46.2096055,5.215993083333332
1090,46.09359373684211,4.778589210526316
1100,46.243726425,5.631893616666666
1110,45.99237986923076,5.545675784615385
1120,45.858871323529414,5.031872570588237
1130,46.19813364705882,5.709204470588236
1140,46.143743392307684,4.8471412076923075
1150,45.867432217391304,5.333556434782609
1160,46.05633798461538,5.318896892307692
1170,46.30283621200001,6.036446489
1190,46.410362692307686,4.968899307692308
1200,46.093001276157025,5.806794972395398
1210,46.27141915454545,6.102817618181818
1220,46.3452066125,6.12537411875
1230,45.942635662499995,5.457604212500001
1240,46.09117021052632,5.150349000000001
1250,46.21000510666667,5.388658413333332
1260,45.9733634008547,5.682972665811964
1270,46.39259150714286,5.298849278571427
1280,46.26309341428572,6.080182857142857
1290,46.23460202777778,4.8934907944444435
1300,45.72508825600001,5.67498054
1310,46.24424343333333,5.103799560000001
1320,46.00858086666667,5.182837772222222
1330,45.99206143333333,5.011981175
1340,46.32486997777777,5.122333744444444
1350,45.847912217647064,5.751754270588235
1360,45.8253035,5.164757142857142
1370,46.28952513,5.322924309999999
1380,46.30864052,4.971017430000001
1390,45.920530466666655,4.903303266666667
1400,46.13828036249999,4.980748687499999
1410,46.27270357142857,5.9152438571428565
1420,45.97711479955358,5.810938112834821
1430,46.091272707692305,5.522984523076924
1440,46.24413127272728,5.2207075454545455
1450,46.149835812499994,5.4497244875
1460,46.17277946666666,5.559471066666666
1470,45.81025853846154,5.469883307692308
1480,46.01407467272727,4.82569629090909
1500,45.97674226319444,5.347351830555556
1510,45.85037,5.635299364285714
1540,46.21786907692308,4.973910846153847
1550,46.14738896428571,5.940796157142857
1560,46.433920842105266,5.114036631578948
1570,46.35379044285714,4.8932798785714295
1580,46.24157304285715,5.540257228571429
1590,46.32644625650183,5.652993519871796
1600,45.93909363157894,4.787441894736841
1630,46.223427520000016,5.9834262449999995
1640,46.033916250000004,5.415089999999999
1660,46.21977677777779,5.052361766666667
1680,45.75649215384615,5.541058538461538
1700,45.837280669230765,4.952219961538462
1710,46.241426571428576,5.9788973571428565
1750,46.30607216999999,4.865575789999999
1800,45.882992538888885,5.147809622222223
1851,46.33580683529413,5.237073464705881
1960,46.16146083333334,5.17819975
1990,46.085567225,4.8882526833333335
2000,49.58540032380953,3.590208501904762
2100,49.867473116666666,3.2896163916666663
2110,49.9595181895238,3.452472835714286
2120,49.87202540904762,3.62392610047619
2130,49.195145893333326,3.5263885800000003
2140,49.83392302631578,3.8993738421052635
2150,49.57846588084416,3.9623180535714293
2160,49.38255625172222,3.728405297
2170,50.005060843333325,3.801871880952381
2190,49.44430146980519,3.9447463007792214
2200,49.34945398666666,3.3249804477777776
2210,49.225693572108845,3.318130286734694
2220,49.318853411111114,3.5197632777777774
2230,49.946275,3.418628428571428
2240,49.76307975384615,3.390938023076923
2250,49.742249030055696,3.789700087669684
2260,49.95936041666667,3.8959706666666674
2270,49.70298463692307,3.5730309815384613
2290,49.42709364444444,3.185275327777778
2300,49.57530059220238,3.189199548154762
2310,48.99350308076923,3.260967475
2320,49.48760122593326,3.462564977828054
2330,48.995637981666675,3.5452321029166667
2340,49.677000836666664,4.025620713333334
2350,49.634814036264785,3.843701462617788
2360,49.76027735277778,4.120508042592592
2370,49.4066069,3.5076125000000005
2380,49.508351242132015,3.334602260595777
2390,49.832469,3.5131966666666674
2400,49.06176514666666,3.3705066666666665
2410,49.58910988888889,3.3888617777777776
2420,49.9807385,3.257972598809524
2430,49.82502645714286,3.283621842857143
2440,49.739326287142866,3.2697879714285714
2450,50.01344952403846,3.6949770875
2460,49.174786896825395,3.1436148511904762
2470,49.15854856428571,3.2359362357142865
2480,49.74682340757576,3.1600270075757577
2490,49.882743263636364,3.155923163636363
2500,49.907723187756176,4.077581773196699
2510,49.986598949999994,3.6316483749999997
2520,49.70720468888888,3.191829022222222
2540,48.91344668782051,3.442667842948718
2550,49.8823305,4.001340416666666
2570,48.96914117092592,3.39381107462963
2580,49.90854986720203,3.9010793994928146
2590,49.81318564285714,3.1418912857142858
2600,49.27113453333333,3.1302330666666673
2610,49.75401069636363,3.353181474545454
2620,49.9601754725,3.8310738275
2630,49.999520325,3.5783527874999996
2640,49.75242718119658,3.1642133572649573
2650,49.05024442,3.5133184400000004
2670,49.54079486459837,3.271649130776816
2680,49.815697327840915,3.2368826255681813
2690,49.78235828571428,3.2995252857142856
2700,49.66302908426574,3.268954747552448
2720,49.839720226666664,3.3686191933333327
2760,49.84970532,3.217993055
2790,49.780242238383835,3.2085257888888896
2800,49.65778219236112,3.377161923611111
2810,49.0901493725,3.2115866112499996
2820,49.51158206562501,3.8387118799107145
2830,49.90762771428571,4.153084571428572
2840,49.56119787345679,3.7321037506172843
2850,49.07488018666666,3.5713217333333334
2860,49.48311257071428,3.677059317142857
2870,49.60302106997863,3.521350775534188
2880,49.42291385625,3.3911536
3000,46.56041833076923,3.2614239615384615
3100,46.32909754705882,2.5909262529411765
3110,46.170634626315795,3.311749931578947
3120,46.22082297692308,3.642061030769231
3130,46.347433045,3.8030842000000007
3140,46.2532684,3.124725366666667
3150,46.300918826007326,3.4530306305860807
3160,46.62484625432188,3.0438489568829756
3170,46.348583382352956,2.7757246176470587
3190,46.45568578571429,2.644475857142857
3200,46.11443808235293,3.4401128764705877
3210,46.49564086,3.1800207866666663
3220,46.35337018,3.6191230399999994
3230,46.60586886923076,3.620949476923077
3240,46.40878184615384,3.089525076923077
3250,46.02999857213438,3.6640839772727274
3260,46.224263699999995,3.4454088500000006
3270,46.057025356249994,3.47944926875
